id,image,obj_text,ref_ids,json_data,depth_caption
000000007601,image/image_0.jpg,"['A black cow that is only half visible standing close to a fully visible cow.'
 'The far right black cow.; cow on the far right who is barely visible; cow butt 3:00; cow barely showing; cow far right; far right cow butt'
 'A cow standing in high grass wearing an ear tag with the number 342.; Cow with a number 312 on a tag on its ear.; yellow tag in ear; cow with tag; Cow with yellow tag; middle cow; big cow yellow tag; center cow']",[3 1 2],"[{'ref_id': 3, 'text': array(['A black cow that is only half visible standing close to a fully visible cow.'],
       dtype=object)}
 {'ref_id': 1, 'text': array(['The far right black cow.',
        'cow on the far right who is barely visible', 'cow butt 3:00',
        'cow barely showing', 'cow far right', 'far right cow butt'],
       dtype=object)}
 {'ref_id': 2, 'text': array(['A cow standing in high grass wearing an ear tag with the number 342.',
        'Cow with a number 312 on a tag on its ear.', 'yellow tag in ear',
        'cow with tag', 'Cow with yellow tag', 'middle cow',
        'big cow yellow tag', 'center cow'], dtype=object)}                                          ]","Closest: a cow
----
Mid Range: a power line
----
Farthest: an elephant
----
"
000000031187,image/image_1.jpg,"['little girl in light green shirt; Little Girl in a green dress waiting for the cake to be cut.; green; green dress; green shirt; Girl in green; girl in green; girl in green'
 'the blonde girls head; blonde hair with small green hairtie; blonde hair; blonde hair; blonde girl; blonde hair girl on left; hair in left corner; blonde head'
 'A knife cutting a cake.; Person wearing jacket cutting the cake.; standing man; person cutting cake; cutting the cake; man cutting cake'
 'girl with glasses; glasses; girl with glasses; right kid; right gal!; right kid']",[2 1 3 4],"[{'ref_id': 2, 'text': array(['little girl in light green shirt',
        'Little Girl in a green dress waiting for the cake to be cut.',
        'green', 'green dress', 'green shirt', 'Girl in green',
        'girl in green', 'girl in green'], dtype=object)}
 {'ref_id': 1, 'text': array(['the blonde girls head', 'blonde hair with small green hairtie',
        'blonde hair', 'blonde hair', 'blonde girl',
        'blonde hair girl on left', 'hair in left corner', 'blonde head'],
       dtype=object)}
 {'ref_id': 3, 'text': array(['A knife cutting a cake.',
        'Person wearing jacket cutting the cake.', 'standing man',
        'person cutting cake', 'cutting the cake', 'man cutting cake'],
       dtype=object)}
 {'ref_id': 4, 'text': array(['girl with glasses', 'glasses', 'girl with glasses', 'right kid',
        'right gal!', 'right kid'], dtype=object)}                                             ]","Closest: a birthday cake
----
Mid Range: a bride
----
Farthest: a girl
----
"
000000066669,image/image_2.jpg,"['an orange cat stuffed animal; The teddy bear that is as large as the baby.'
 'The group of stuffed animals the child is facing.; Infant feed her teddy bear']",[4 5],"[{'ref_id': 4, 'text': array(['an orange cat stuffed animal',
        'The teddy bear that is as large as the baby.'], dtype=object)}
 {'ref_id': 5, 'text': array(['The group of stuffed animals the child is facing.',
        'Infant feed her teddy bear'], dtype=object)}                             ]","Closest: a baby
----
Mid Range: a cow
----
Farthest: a person
----
"
000000017997,image/image_3.jpg,"['The giraffe standing in the middle.; A giraffe in between two other giraffes.; giraffe mostly facing us; Giraffe partially facing the camers; giraffe 2; middle giraffe; middle giraffe; MIDDLE GIRAFFE'
 'The giraffe closest to the gate; not with couple; closest giraffe against white wall; giraffe going opposite direction of other two; right girafee; giraffe looking right; right one']",[3 2],"[{'ref_id': 3, 'text': array(['The giraffe standing in the middle.',
        'A giraffe in between two other giraffes.',
        'giraffe mostly facing us', 'Giraffe partially facing the camers',
        'giraffe 2', 'middle giraffe', 'middle giraffe', 'MIDDLE GIRAFFE'],
       dtype=object)}
 {'ref_id': 2, 'text': array(['The giraffe closest to the gate', 'not with couple',
        'closest giraffe against white wall',
        'giraffe going opposite direction of other two', 'right girafee',
        'giraffe looking right', 'right one'], dtype=object)}                      ]","Closest: three giraffes
----
Mid Range: a person
----
Farthest: three giraffes
----
"
000000032707,image/image_4.jpg,"['skier in orange coat in the right hand picture; Skier with black pants and orange jacket facing another skier in a green ski suit'
 'A skier in a green outfit.; Someone in a green ski waiting to ski.']",[2 1],"[{'ref_id': 2, 'text': array(['skier in orange coat in the right hand picture',
        'Skier with black pants and orange jacket facing another skier in a green ski suit'],
       dtype=object)}
 {'ref_id': 1, 'text': array(['A skier in a green outfit.',
        'Someone in a green ski waiting to ski.'], dtype=object)}]","Closest: two people
----
Mid Range: the Earth
----
Farthest: two people
----
"
000000039802,image/image_5.jpg,"[""A table with a man's arm rested on it.""
 'black colored coat in the chair of man with white shirt; Jacket on back of chair of picture taker'
 'black shirt; black and red tie; red and black tie; guy on left; left black shirt guy; man on left'
 'man in white shirt; white shirt; WHITE SHIRT; right white shirt; white shirt man']",[17 21  3  2],"[{'ref_id': 17, 'text': array([""A table with a man's arm rested on it.""], dtype=object)}
 {'ref_id': 21, 'text': array(['black colored coat in the chair of man with white shirt',
        'Jacket on back of chair of picture taker'], dtype=object)}
 {'ref_id': 3, 'text': array(['black shirt', 'black and red tie', 'red and black tie',
        'guy on left', 'left black shirt guy', 'man on left'], dtype=object)}
 {'ref_id': 2, 'text': array(['man in white shirt', 'white shirt', 'WHITE SHIRT',
        'right white shirt', 'white shirt man'], dtype=object)}                  ]","Closest: a man
----
Mid Range: people
----
Farthest: people
----
"
000000037160,image/image_6.jpg,"[""rainbow colored umbrella over a gent; A striped umbrella above a man's head.""
 'Outer edge of a solid navy blue umbrella; The edge of a blue umbrella.']",[8 9],"[{'ref_id': 8, 'text': array(['rainbow colored umbrella over a gent',
        ""A striped umbrella above a man's head.""], dtype=object)}
 {'ref_id': 9, 'text': array(['Outer edge of a solid navy blue umbrella',
        'The edge of a blue umbrella.'], dtype=object)}                  ]","Closest: a person
----
Mid Range: elephants
----
Farthest: a virtual elephant
----
"
000000006068,image/image_7.jpg,"['A lone train car, soon to be bypassed by a locomotive in motion on the opposite track.; A gray and undetached train cart on the tracks.']",[2],"[{'ref_id': 2, 'text': array(['A lone train car, soon to be bypassed by a locomotive in motion on the opposite track.',
        'A gray and undetached train cart on the tracks.'], dtype=object)}                                             ]","Closest: a train
----
Mid Range: a frog
----
Farthest: a train
----
"
000000028230,image/image_8.jpg,['A woman doing acrobatics on a street corner.; a girl doing pole tricks'],[3],"[{'ref_id': 3, 'text': array(['A woman doing acrobatics on a street corner.',
        'a girl doing pole tricks'], dtype=object)}                          ]","Closest: a woman
----
Mid Range: a person
----
Farthest: a pole dancer
----
"
000000003320,image/image_9.jpg,['A man dressed in all black with a black backpack; The man with the black backpack strapped to his chest.'],[3],"[{'ref_id': 3, 'text': array(['A man dressed in all black with a black backpack',
        'The man with the black backpack strapped to his chest.'],
       dtype=object)}                                                            ]","Closest: a person
----
Mid Range: a white stick
----
Farthest: a person
----
"
000000021595,image/image_10.jpg,['A clear wine glass with liquid inside of it; Empty clear glass margarita glass'],[3],"[{'ref_id': 3, 'text': array(['A clear wine glass with liquid inside of it',
        'Empty clear glass margarita glass'], dtype=object)}                ]","Closest: a pizza
----
Mid Range: a pizza
----
Farthest: a pizza
----
"
000000030231,image/image_11.jpg,['the table in front of the guy with the red sweatshirt; The edge of a table. Part of a pair of pants is visible.'],[11],"[{'ref_id': 11, 'text': array(['the table in front of the guy with the red sweatshirt',
        'The edge of a table. Part of a pair of pants is visible.'],
       dtype=object)}                                                                  ]","Closest: a man
----
Mid Range: a man
----
Farthest: a man
----
"
000000015658,image/image_12.jpg,['a person in a black sweatshirt; A person in black on a court.'],[2],"[{'ref_id': 2, 'text': array(['a person in a black sweatshirt', 'A person in black on a court.'],
       dtype=object)}                                                                            ]","Closest: a tennis player
----
Mid Range: a person
----
Farthest: a tennis player
----
"
000000005587,image/image_13.jpg,"['A plate with four biscuits, sitting under two other plates.; The muffins on the bottom of the photo.; plate with rolls; lowest tier on the plates; Plate with biscuits; Bottom plate with 4; bottom front dish'
 'The square table the people are sitting at'
 'tallest tier; highest plate; plate of food closest to sky; top plate; top tier plate']",[22 45 23],"[{'ref_id': 22, 'text': array(['A plate with four biscuits, sitting under two other plates.',
        'The muffins on the bottom of the photo.', 'plate with rolls',
        'lowest tier on the plates', 'Plate with biscuits',
        'Bottom plate with 4', 'bottom front dish'], dtype=object)}
 {'ref_id': 45, 'text': array(['The square table the people are sitting at'], dtype=object)}
 {'ref_id': 23, 'text': array(['tallest tier', 'highest plate', 'plate of food closest to sky',
        'top plate', 'top tier plate'], dtype=object)}                                         ]","Closest: a violin
----
Mid Range: a plate of food
----
Farthest: a cowboy hat
----
"
000000004477,image/image_14.jpg,"[""The elephant who has it's trunk curving upwards.; The elephant in the foreground with its trunk slightly raised.; Elephant closest; elephant; elephant main; front elephant""]",[2],"[{'ref_id': 2, 'text': array([""The elephant who has it's trunk curving upwards."",
        'The elephant in the foreground with its trunk slightly raised.',
        'Elephant closest', 'elephant', 'elephant main', 'front elephant'],
       dtype=object)}                                                            ]","Closest: an elephant
----
Mid Range: an elephant
----
Farthest: an elephant
----
"
